text,label
"In accordance with Section 3.6, Failure of sub-contractors or suppliers shall not be deemed a Force Majeure unless caused by a Force Majeure event affecting the sub-contractor directly.",Force Majeure
"Under Section 24.2, it is agreed that: This Agreement may be terminated by mutual written agreement of both parties at any time.",Termination
Between Beta Corp and Vanguard Gaming: Section 18.1. The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing at its own expense.,Indemnification
Between Quantum Labs and HeavyGear Machinery: Clause 15.2: The subscription fees for renewal terms shall be subject to an annual increase not to exceed 10% over the preceding term's fees.,Payment Terms
Between TalentAcquire and Vanguard Gaming: Clause 22.5: The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 5-month period preceding the claim.,Limitation of Liability
"In accordance with Section 14.2, If the Force Majeure event continues for a period exceeding 45 consecutive days, either party may terminate the affected Statement of Work without penalty.",Force Majeure
Between Stellar Creative and Aurora Pharma: Clause 25.8: Customer agrees to indemnify and hold harmless Provider from any claims arising out of Customer's unauthorized use of the Service or violation of applicable laws.,Indemnification
Between Vertex E-Commerce and Beta Corp: The subscription fees for renewal terms shall be subject to an annual increase not to exceed 3% over the preceding term's fees.,Payment Terms
"Under Section 21.1, it is agreed that: The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
Section 6.9. The parties agree that the limitations and exclusions of liability specified in this Section represent a reasonable allocation of risk.,Limitation of Liability
"Between Quantum Labs and Beta Corp: Under Section 20.7, it is agreed that: The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
Section 15.6. The obligations of confidentiality hereunder shall survive for a period of 10 years following the termination or expiration of this Agreement.,Confidentiality
Between HRFlow AI and Infinity Group: Section 3.5. All out-of-pocket travel and lodging expenses incurred by Service Provider must be pre-approved in writing by Client to be eligible for reimbursement.,Payment Terms
"Section 14.4. Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
"Between EcoPack Supplies and Genesis Holdings: Client shall notify Service Provider in writing of any disputed invoice amounts within 120 days of invoice receipt, detailing the basis for the dispute.",Payment Terms
"Between Alpha Solutions and Stellar Creative: Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
"Between Apex FinTech and HRFlow AI: In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
Section 16.1. The parties agree that the limitations and exclusions of liability specified in this Section represent a reasonable allocation of risk.,Limitation of Liability
"Clause 3.6: If a Force Majeure event prevents a party's performance for more than 7 days, the other party may terminate this Agreement upon written notice.",Force Majeure
"Between Aurora Pharma and Obsidian BioTech: Under Section 13.3, it is agreed that: This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
"Between Omega LLC and Delta Systems: Under Section 21.6, it is agreed that: Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.",Dispute Resolution
"Under Section 22.5, it is agreed that: Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.",Assignment
"This Agreement shall be governed by and construed in accordance with the laws of the State of Massachusetts, without giving effect to any principles of conflict of laws.",Governing Law
Section 17.9. Either party may terminate this Agreement with immediate effect if the other party becomes insolvent or files a petition for bankruptcy.,Termination
"Under Section 7.5, it is agreed that: This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
"In accordance with Section 25.8, If Customer fails to pay any undisputed invoice when due, Provider may, upon 120 days' written notice, suspend access to the SaaS Services.",Payment Terms
"Under Section 24.4, it is agreed that: The obligations of the party affected by a Force Majeure event shall be suspended only for the duration of the Force Majeure event.",Force Majeure
Between HRFlow AI and Genesis Holdings: This Agreement shall automatically renew for successive 60-month periods unless either party gives notice of non-renewal at least 60 days prior to the end of the term.,Termination
"Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
Termination of this Agreement shall not affect any accrued rights to payment or other liabilities incurred prior to the date of termination.,Termination
"In accordance with Section 10.9, All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
Between Vector Industries and Stellar Creative: Clause 7.8: The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.,Dispute Resolution
"Clause 17.8: In the event of a Force Majeure, the parties shall cooperate in good faith to identify alternative means of performing their obligations.",Force Majeure
"Section 21.8. Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
"In accordance with Section 9.1, Each Partner shall indemnify the Partnership for any losses resulting from their fraud, gross negligence, or willful misconduct.",Indemnification
"Clause 14.8: Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
"In accordance with Section 10.4, Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
Between Aegis Cyber and Titanium Partners: Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.,Dispute Resolution
"In accordance with Section 15.4, The assigning party must provide written notice of any assignment to the other party within 10 days of the consummation of the transaction.",Assignment
"Under Section 19.7, it is agreed that: Confidential Information shall not include information that is or becomes publicly available through no breach of this Agreement by the Receiving Party.",Confidentiality
"In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
Between Crimson Media and Nova Tech: Section 22.3. Failure of sub-contractors or suppliers shall not be deemed a Force Majeure unless caused by a Force Majeure event affecting the sub-contractor directly.,Force Majeure
"Between HeavyGear Machinery and TalentAcquire: In accordance with Section 25.9, The indemnification obligations set forth in this Section shall survive the termination or expiration of this Agreement.",Indemnification
Between Crimson Media and Titanium Partners: Section 1.6. The obligations of confidentiality hereunder shall survive for a period of 7 years following the termination or expiration of this Agreement.,Confidentiality
"Between Obsidian BioTech and Quantum Labs: Clause 17.3: Nothing in this Agreement shall limit or exclude either party's liability for death, personal injury, or fraud caused by its negligence.",Limitation of Liability
"Under Section 7.6, it is agreed that: All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"Between Nova Tech and Quantum Labs: Clause 11.9: Customer acknowledges that the fees charged reflect this allocation of risk, and that Provider would not enter into this Agreement without these limitations.",Limitation of Liability
The Receiving Party shall maintain all Confidential Information in strict confidence and shall not disclose it to any third party without Disclosing Party's prior written consent.,Confidentiality
Section 1.4. The parties agree that any disputes arising out of this contract shall be governed by and interpreted under New York law.,Governing Law
"In accordance with Section 15.4, Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"Clause 1.9: All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"Under Section 10.6, it is agreed that: The parties agree that any disputes arising out of this contract shall be governed by and interpreted under New York law.",Governing Law
"In accordance with Section 7.8, Either party may terminate this Agreement with immediate effect if the other party becomes insolvent or files a petition for bankruptcy.",Termination
"Before initiating any legal action or arbitration, the parties shall attempt to resolve any dispute through good-faith mediation.",Dispute Resolution
"Under Section 17.5, it is agreed that: The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 90-month period preceding the claim.",Limitation of Liability
"Section 11.5. Client shall notify Service Provider in writing of any disputed invoice amounts within 5 days of invoice receipt, detailing the basis for the dispute.",Payment Terms
Section 17.4. The validity and construction of this Agreement shall be determined under the laws of the State of Massachusetts.,Governing Law
"The indemnifying party shall have sole control over the defense and settlement of any third-party claim, subject to the indemnified party's consent rights.",Indemnification
"In accordance with Section 23.8, Either party may terminate this Agreement with immediate effect if the other party becomes insolvent or files a petition for bankruptcy.",Termination
"In accordance with Section 13.6, If Customer fails to pay any undisputed invoice when due, Provider may, upon 45 days' written notice, suspend access to the SaaS Services.",Payment Terms
"In accordance with Section 17.3, The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.",Dispute Resolution
Between Beta Corp and Stellar Creative: Either party may terminate this Agreement at any time for convenience upon 10 days' prior written notice to the other party.,Termination
"In accordance with Section 16.8, Customer acknowledges that the fees charged reflect this allocation of risk, and that Provider would not enter into this Agreement without these limitations.",Limitation of Liability
"Clause 1.8: In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
Between HRFlow AI and Infinity Group: Section 16.4. Either party may terminate this Agreement at any time for convenience upon 7 days' prior written notice to the other party.,Termination
"Between Nova Tech and HeavyGear Machinery: Clause 17.3: The provisions of Sections 5, 8, and 12 shall survive any termination or expiration of this Agreement.",Termination
Section 12.1. Failure of sub-contractors or suppliers shall not be deemed a Force Majeure unless caused by a Force Majeure event affecting the sub-contractor directly.,Force Majeure
"Between Omega LLC and HRFlow AI: Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
"Each party agrees not to register or attempt to register any trademarks, trade names, or service marks that are confusingly similar to those of the other party.",Intellectual Property
Section 19.6. The parties agree that any disputes arising out of this contract shall be governed by and interpreted under Texas law.,Governing Law
"Clause 10.1: Each party agrees to protect the other's Proprietary Data with at least the same degree of care it uses for its own data of similar importance, but no less than reasonable care.",Confidentiality
"In accordance with Section 10.3, Nothing in this Agreement shall limit or exclude either party's liability for death, personal injury, or fraud caused by its negligence.",Limitation of Liability
"In accordance with Section 2.5, Notwithstanding the foregoing, either party may assign this Agreement in its entirety to an affiliate or in connection with a merger or sale of assets.",Assignment
"Between Beta Corp and Vanguard Gaming: In accordance with Section 11.2, Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
"In accordance with Section 24.8, Customer is responsible for all sales, use, excise, and value-added taxes arising from the transactions contemplated under this Agreement.",Payment Terms
Clause 9.9: No assignment shall relieve the assigning party of its obligations hereunder unless explicitly agreed in writing by the other party.,Assignment
Between Vertex E-Commerce and Nova Tech: Clause 21.1: The indemnifying party's obligations are conditioned upon the indemnified party giving prompt written notice of the claim and cooperation in the defense thereof.,Indemnification
"In accordance with Section 22.4, In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
"Between LogiChain Software and Delta Systems: Neither party shall be liable for any delay or failure in performance due to circumstances beyond its reasonable control, including acts of God, war, riot, terrorism, or embargoes.",Force Majeure
"In accordance with Section 17.6, Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"Between TalentAcquire and Zephyr Robotics: Section 21.2. Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
"Between Crimson Media and Genesis Holdings: Under Section 20.9, it is agreed that: All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"In accordance with Section 7.7, Payment obligations are non-cancelable and all fees paid under this Agreement are non-refundable except as otherwise explicitly provided.",Payment Terms
"In accordance with Section 10.4, Except as explicitly set forth herein, neither party grants the other party any license, express or implied, to its intellectual property or proprietary technology.",Intellectual Property
"Between Genesis Holdings and Aegis Cyber: Any dispute, controversy, or claim arising out of or relating to this Agreement shall be resolved through binding arbitration in New York City, Illinois.",Dispute Resolution
The exclusions of indirect damages under this Section shall not apply to breaches of confidentiality or indemnification obligations hereunder.,Limitation of Liability
"Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"Between Nova Tech and Vanguard Gaming: In accordance with Section 16.8, This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
All matters arising out of or relating to this Agreement shall be governed by the laws of the State of Ohio.,Governing Law
"In accordance with Section 20.7, This Agreement shall be governed by and construed in accordance with the laws of the State of Oregon, without giving effect to any principles of conflict of laws.",Governing Law
This Agreement shall be binding upon and inure to the benefit of the parties and their respective permitted successors and assigns.,Assignment
"Under Section 23.3, it is agreed that: Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
Section 15.8. Any mediation or arbitration proceedings shall be conducted in the English language.,Dispute Resolution
"Under Section 3.3, it is agreed that: The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.",Dispute Resolution
Section 15.5. Any mediation or arbitration proceedings shall be conducted in the English language.,Dispute Resolution
This Agreement may be terminated by mutual written agreement of both parties at any time.,Termination
Clause 17.2: Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.,Assignment
Section 17.4. The parties acknowledge that unauthorized disclosure of Confidential Information will cause irreparable harm for which monetary damages alone would be inadequate.,Confidentiality
"Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"In accordance with Section 14.4, All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"Section 20.2. This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
Clause 17.3: Each party waives any objection it may now or hereafter have to the venue of any action brought in the courts of Oregon based on forum non conveniens.,Governing Law
"Section 5.6. The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
"Under Section 23.7, it is agreed that: Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
